participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,correct_button,response_window,inter_time_interval,late_response,response_time
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,19,1,540,550,0,302.4330139160156
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,0,1,500,500,0,251.941978931427
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,0,1,500,500,0,280.45594692230225
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,1,1,490,500,0,265.2360200881958
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,1,1,490,500,0,349.08002614974976
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,2,1,480,500,0,262.6369595527649
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,2,1,480,500,0,219.92599964141846
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,3,0,,,,
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,3,1,460,500,0,274.6729850769043
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,4,0,460,500,1,N/A
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,4,1,420,500,0,305.94098567962646
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,5,1,500,500,0,483.77102613449097
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,5,0,340,500,1,429.8190474510193
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,6,1,490,500,0,267.861008644104
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,6,1,380,500,0,281.73303604125977
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,7,1,480,500,0,233.82002115249634
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,7,1,370,500,0,176.91999673843384
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,8,0,460,500,1,125.55897235870361
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,8,0,,,,
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,9,1,500,500,0,209.02496576309204
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,9,0,360,500,1,N/A
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,10,0,,,,
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,10,1,400,500,0,286.07702255249023
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,11,0,490,500,1,N/A
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,11,1,390,500,0,245.48399448394775
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,12,1,530,530,0,322.08698987960815
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,12,0,380,500,1,73.86797666549683
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,13,0,520,530,1,116.46699905395508
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,13,1,420,500,0,210.55299043655396
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,14,0,,,,
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,14,0,,,,
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,15,0,560,560,0,N/A
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,15,0,410,500,1,N/A
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,16,1,600,600,0,320.73402404785156
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,16,0,,,,
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,17,1,590,600,0,255.13297319412231
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,17,1,450,500,0,295.98498344421387
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,18,1,580,600,0,286.50903701782227
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,18,0,,,,
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,19,1,560,600,0,285.4290008544922
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,19,0,440,500,1,N/A
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,0,1,500,500,0,415.2650237083435
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,0,0,500,500,0,N/A
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,1,0,490,500,1,497.6930022239685
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,1,0,,,,
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,2,1,530,530,0,410.81804037094116
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,2,1,540,540,0,345.6360101699829
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,3,1,520,530,0,451.52896642684937
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,3,1,530,540,0,499.3079900741577
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,4,1,510,530,0,475.22300481796265
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,4,1,520,540,0,413.99502754211426
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,5,1,490,530,0,466.32295846939087
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,5,1,500,540,0,314.32396173477173
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,6,1,450,530,0,433.6860179901123
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,6,1,460,540,0,362.29902505874634
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,7,0,370,530,1,500.32204389572144
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,7,1,380,540,0,266.1239504814148
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,8,1,410,530,0,343.7739610671997
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,8,0,220,540,1,361.1909747123718
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,9,1,400,530,0,359.4229817390442
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,9,0,260,540,1,319.9619650840759
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,10,0,390,530,1,440.1469826698303
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,10,1,300,540,0,239.5470142364502
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,11,1,430,530,0,359.499990940094
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Right,11,1,290,540,0,277.0879864692688
ADMIN-UCSF-BK001,2017-10-16 20:17:20+00:00,2017-10-25 14:31:52+00:00,,Left,12,1,420,530,0,324.64003562927246
