participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,flanking_cue,response_window,response_time,first_button,correct_button,trial_type,second_button,late_response,displayed_cue
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,31,C,900,778.05095911026,NO,1,CONGRUENT,YES,0,C
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,32,A,890,576.9779682159424,YES,1,CONGRUENT,NO,0,A
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,33,D,840,841.1380052566528,YES,1,INCONGRUENT,NO,1,A
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,34,C,830,N/A,NO,0,INCONGRUENT,NO,1,A
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,35,B,880,750.4330277442932,YES,1,CONGRUENT,NO,0,B
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,36,A,870,N/A,NO,0,INCONGRUENT,NO,1,C
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,37,A,950,472.0439910888672,YES,0,INCONGRUENT,NO,0,D
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,38,A,860,355.8099865913391,YES,1,CONGRUENT,NO,0,A
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,39,C,1110,340.5349850654602,NO,0,INCONGRUENT,YES,0,A
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,40,B,1430,679.9390316009521,YES,0,INCONGRUENT,NO,0,C
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,41,B,820,836.5679979324341,YES,1,CONGRUENT,NO,1,B
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,42,C,810,1082.5629830360413,NO,1,CONGRUENT,YES,1,C
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,43,A,2070,676.580011844635,NO,1,INCONGRUENT,YES,0,D
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,44,C,2060,682.191014289856,YES,1,INCONGRUENT,NO,0,A
ADMIN-UCSF-BK002,2017-10-16 20:42:04+00:00,2017-10-19 21:30:24+00:00,,,45,B,2050,1244.4270253181458,NO,1,INCONGRUENT,YES,0,C
