participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,response_time,response_window,trial_accuracy,position_is_top,correct_button,late_response
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,17,0,620,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,18,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,18,0,620,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,19,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,19,298.5680103302002,620,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,20,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,20,308.9430332183838,610,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,21,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,21,386.2529993057251,600,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,22,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,22,0,580,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,23,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,23,N/A,580,Miss,1,0,1
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,24,0,650,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,24,427.2890090942383,620,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,25,353.5969853401184,650,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,25,0,610,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,26,0,640,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,26,340.95895290374756,610,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,27,0,640,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,27,409.2400074005127,600,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,28,422.89096117019653,640,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,28,354.6310067176819,580,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,29,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,29,409.0839624404907,540,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,30,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,30,468.86003017425537,460,Miss,1,0,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,31,291.25797748565674,630,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,31,0,500,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,32,0,610,Correct Rejection,0,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Sustained,32,429.58903312683105,500,Hit,1,1,0
ADMIN-UCSF-BK002,2017-10-16 20:38:58+00:00,2017-10-19 21:30:24+00:00,,Impulsive,33,N/A,610,Miss,1,0,1
