participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,correct_button,response_window,inter_time_interval,late_response,response_time
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,19,0,200,520,1,251.5050172805786
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,19,1,520,530,0,294.12901401519775
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,0,1,500,500,0,220.15398740768433
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,0,1,500,500,0,262.85797357559204
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,1,1,490,500,0,267.6909565925598
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,1,1,490,500,0,269.58996057510376
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,2,0,,,,
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,2,1,480,500,0,269.50401067733765
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,3,0,480,500,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,3,0,,,,
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,4,0,,,,
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,4,0,460,500,1,N/A
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,5,1,520,520,0,316.61999225616455
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,5,0,,,,
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,6,0,510,520,1,115.34500122070312
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,6,1,500,500,0,301.5710115432739
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,7,1,550,550,0,266.89302921295166
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,7,1,490,500,0,283.35195779800415
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,8,1,540,550,0,283.66702795028687
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,8,1,480,500,0,258.7429881095886
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,9,1,530,550,0,254.44597005844116
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,9,1,460,500,0,267.22800731658936
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,10,1,510,550,0,204.135000705719
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,10,1,420,500,0,260.05101203918457
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,11,1,470,550,0,240.23300409317017
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,11,0,,,,
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,12,0,390,550,1,130.64199686050415
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,12,0,340,500,1,450.1689672470093
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,13,1,430,550,0,280.4810404777527
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,13,1,380,500,0,268.2350277900696
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,14,1,420,550,0,254.31901216506958
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,14,1,370,500,0,275.6890058517456
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,15,0,410,550,1,413.91801834106445
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,15,1,360,500,0,158.90198945999146
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,16,1,450,550,0,301.37401819229126
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,16,1,340,500,0,252.20602750778198
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,17,1,440,550,0,295.011043548584
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,17,1,300,500,0,168.09099912643433
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,18,1,430,550,0,294.96699571609497
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,18,0,220,500,1,39.89696502685547
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Left,19,1,410,550,0,284.0149998664856
ADMIN-UCSF-BS004,2017-12-08 21:30:35+00:00,2017-12-12 17:39:05+00:00,,Right,19,0,260,500,1,492.8330183029175
ADMIN-UCSF-BS001,2017-12-08 21:50:53+00:00,2017-12-12 17:39:05+00:00,,Left,0,1,500,500,0,295.64398527145386
