participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,flanking_cue,response_window,response_time,first_button,correct_button,displayed_cue,second_button,late_response,trial_type
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,31,B,380,436.59698963165283,NO,1,D,YES,1,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,32,D,760,448.665976524353,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,33,B,370,418.38598251342773,YES,0,C,NO,1,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,34,C,690,528.4020304679871,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,35,D,680,416.2600040435791,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,36,B,720,740.7869696617126,NO,1,D,YES,1,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,37,C,710,692.225992679596,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,38,B,740,407.5689911842346,NO,0,B,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,39,C,700,522.7639675140381,NO,0,A,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,40,A,740,617.0129776000977,YES,0,C,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,41,B,780,730.379045009613,NO,1,D,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,42,B,780,684.4419836997986,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,43,A,770,600.5769968032837,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,44,D,760,504.1469931602478,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,45,B,740,557.2670102119446,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,46,D,770,557.2450160980225,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,47,B,700,632.3480010032654,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,48,C,760,654.242992401123,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,49,A,800,706.2129974365234,NO,1,D,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,0,B,800,606.747031211853,NO,1,D,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,1,C,800,501.47396326065063,YES,0,C,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,2,B,790,683.1109523773193,YES,0,C,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,3,D,840,342.1189785003662,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,4,C,830,635.1220011711121,YES,0,C,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,5,D,830,533.6679816246033,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,6,C,870,617.4879670143127,YES,0,C,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,7,C,910,583.961009979248,NO,1,C,YES,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,8,D,870,556.3910007476807,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,9,A,900,724.2549657821655,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,10,D,890,638.1389498710632,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,11,C,870,651.8160104751587,YES,0,C,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,12,C,910,672.8360056877136,YES,0,C,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,13,C,950,553.6389946937561,NO,1,C,YES,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,14,B,940,791.038990020752,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,15,C,860,826.9280195236206,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,16,A,850,N/A,NO,0,D,NO,1,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,17,B,890,749.5319843292236,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,18,C,880,607.6650023460388,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,19,C,870,607.3749661445618,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,20,B,910,784.4460010528564,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,21,A,930,663.9809608459473,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,22,C,910,532.8579545021057,NO,1,C,YES,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,23,D,900,372.26003408432007,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,24,C,870,314.04000520706177,NO,1,C,YES,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,25,B,890,609.3230247497559,YES,0,D,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,26,B,930,545.0350046157837,NO,1,D,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,27,B,920,303.22301387786865,YES,0,C,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,28,A,790,387.4800205230713,NO,0,A,YES,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,29,B,830,N/A,NO,0,B,NO,1,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,30,D,870,640.2129530906677,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,31,C,960,739.4840121269226,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,32,B,860,390.73503017425537,NO,0,B,YES,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,33,A,900,543.4420108795166,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,34,A,950,751.3899803161621,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,35,A,890,664.4790172576904,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,36,A,880,467.42600202560425,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,37,D,940,589.464008808136,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,38,D,980,464.15895223617554,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,39,B,860,591.2190079689026,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,40,D,970,607.3219776153564,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS004,2017-12-08 21:37:45+00:00,2017-12-12 17:39:05+00:00,,,41,A,820,740.6439781188965,YES,1,A,NO,0,CONGRUENT
