participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,response_time,response_window,trial_accuracy,position_is_top,correct_button,late_response
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,17,401.1250138282776,400,Miss,1,0,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,18,325.3840208053589,560,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,18,274.60598945617676,440,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,19,0,480,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,19,425.7349967956543,430,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,20,0,480,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,20,341.1639928817749,420,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,21,389.48702812194824,480,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,21,0,400,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,22,512.7390027046204,320,Miss,1,0,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,22,0,400,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,23,0,360,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,23,354.8889756202698,400,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,24,0,360,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,24,375.04899501800537,360,False Alarm,0,0,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,25,521.8570232391357,360,Miss,1,0,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,25,401.04299783706665,400,Miss,1,0,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,26,0,400,Correct Rejection,0,1,N/A
